observation_id,observed_on,created_at,quality_grade,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,rank,iconic_taxon_name,observer_login,uri,photo_url,source
352156305,2026-04-22,2026-04-22T23:27:51-03:00,research,"General Roca, AR-RN, AR",-37.83903548,-67.73707792,498893,Larrea nitida,,species,Plantae,veonatura,https://www.inaturalist.org/observations/352156305,https://inaturalist-open-data.s3.amazonaws.com/photos/642733310/medium.jpg,iNaturalist / ArgentiNat API: observations
355650912,2026-04-27,2026-04-27T17:34:53-03:00,research,"Corrientes, Argentina",-27.4857203374,-58.7623735517,223926,Lippia alba,Bushy Lippia,species,Plantae,maira_leiva,https://www.inaturalist.org/observations/355650912,https://inaturalist-open-data.s3.amazonaws.com/photos/648583764/medium.jpg,iNaturalist / ArgentiNat API: observations
358316231,2026-05-03,2026-05-04T12:40:31-03:00,research,"Tigre, Provincia de Buenos Aires, Argentina",-34.353451651,-58.5934748501,603333,Tessaria integrifolia,,species,Plantae,zombiewoof,https://www.inaturalist.org/observations/358316231,https://inaturalist-open-data.s3.amazonaws.com/photos/653643399/medium.jpg,iNaturalist / ArgentiNat API: observations
353596023,2026-04-25,2026-04-25T12:10:49-03:00,research,"Navarro, Provincia de Buenos Aires, Argentina",-35.0072880922,-59.2908719927,424094,Senecio bonariensis,,species,Plantae,arigrunfeld,https://www.inaturalist.org/observations/353596023,https://inaturalist-open-data.s3.amazonaws.com/photos/645140679/medium.jpg,iNaturalist / ArgentiNat API: observations
349802682,2026-04-13,2026-04-14T13:18:10-03:00,research,"San Carlos de Bariloche, Río Negro, AR",-41.1264833333,-71.5082866667,403954,Misodendrum punctulatum,false mistletoe,species,Plantae,pablokozodij,https://www.inaturalist.org/observations/349802682,https://inaturalist-open-data.s3.amazonaws.com/photos/638157299/medium.jpg,iNaturalist / ArgentiNat API: observations
353831007,2026-04-25,2026-04-25T17:01:21-03:00,research,"Luján de Cuyo, AR-MZ, AR",-33.04992675,-68.938591,78571,Physalis viscosa,grape groundcherry,species,Plantae,jbb-bender,https://www.inaturalist.org/observations/353831007,https://inaturalist-open-data.s3.amazonaws.com/photos/645538574/medium.jpg,iNaturalist / ArgentiNat API: observations
349782396,2026-04-13,2026-04-14T11:50:41-03:00,research,"Sendero Refugio Italia + Laguna Negra, San Carlos de Bariloche, Río Negro, AR",-41.1060195,-71.5197133333,163112,Fuchsia magellanica,Hardy Fuchsia,species,Plantae,pablokozodij,https://www.inaturalist.org/observations/349782396,https://inaturalist-open-data.s3.amazonaws.com/photos/638118948/medium.jpg,iNaturalist / ArgentiNat API: observations
358084645,2026-05-03,2026-05-03T19:18:22-03:00,research,"B1896 Villa Elisa, Provincia de Buenos Aires, Argentina",-34.8680509,-58.0734594,450291,Baccharis trimera,,species,Plantae,eckerd,https://www.inaturalist.org/observations/358084645,https://inaturalist-open-data.s3.amazonaws.com/photos/653181007/medium.jpg,iNaturalist / ArgentiNat API: observations
351551933,2026-04-20,2026-04-20T17:31:14-03:00,research,"Villa Mercedes, San Luis, Argentina",-33.6743310898,-65.4785240069,139568,Bauhinia forficata,Brazilian orchid tree,species,Plantae,lampacito,https://www.inaturalist.org/observations/351551933,https://inaturalist-open-data.s3.amazonaws.com/photos/641552297/medium.jpg,iNaturalist / ArgentiNat API: observations
358023211,2026-05-03,2026-05-03T16:26:48-03:00,research,"General Juan Gregorio de Las Heras, Vicente López, Buenos Aires Province, AR",-34.5375366667,-58.492795,859285,Solanum amygdalifolium,,species,Plantae,naturaleza_silvestre,https://www.inaturalist.org/observations/358023211,https://static.inaturalist.org/photos/653061977/medium.jpg,iNaturalist / ArgentiNat API: observations
354080768,2026-04-25,2026-04-26T00:03:18-03:00,research,"Islas del Ibicuy, Entre Ríos, Argentina",-33.6028780807,-58.7551469216,872365,Aspilia silphioides,,species,Plantae,franco_montano,https://www.inaturalist.org/observations/354080768,https://inaturalist-open-data.s3.amazonaws.com/photos/645986914/medium.jpg,iNaturalist / ArgentiNat API: observations
